id,term,example,label
254,black,"You know I'm not big on the NFL, but I'm so sick of hearing all of this ""Black and yellow"" shit. LOL @ bandwagon fans and hell, GO PACKERS!",0
256,black,You're black? Your name looks Hungarian. You marry a Hunky? @JulieSczesny @ChrisLoesch,0
258,black,cheeky lol RT @_MELiSA_jay: I want those all black and yellow 95's again... ughh I &#9825; those,0
260,black,dem niggas ca have them white hoes.... I love my beautiful black sistas....,0
263,black,people be shooting their guns around here late as fuck got me thinking they tryna shoot my black ass 4 jammin jiggaboo music,0
25,cracker,",@musclezauber why not animal crackers. i want animal crackers shaped like master chiefs and trolls and gun's and shit, thatd rule.",0
34,cracker,@BlackManUSA @texasdivepro Historical point: cracker was a term for the Irish settling in the woods of the mid-Atlantic. Hardly offensive.,0
59,cracker,@ReiddH i agree my fellow cracker.,0
96,cracker,@joshbuddy blue cheese crackers intrigues and repulses me at the same time.,0
97,cracker,@kenzieblake2015 its pretty easy actually. I'm just the cashier. Right now I'm eating those animal crackers lolol :),0
131,cracker,Graham crackers and hazelnut coffee are my fave &#128152;&#9786;&#65039;,0
132,cracker,HOW &#8220;@darrenrovell: Deep Fried Sweet Tea on a graham cracker crust at State Fair of Texas (via @gravweldon) http://t.co/KVzhlmCsls&#8221;,0
135,cracker,Homemade Soup is very good with vegetables on the side with crackers http://t.co/LiRwGwkdzE,0
140,cracker,"I'm 81 and I still eat animal crackers

 #EMABiggestFans1D",0
209,cracker,RT @crazygirlgab: Just eating animal crackers in sacrament! #17AndLovinIt,0
219,cracker,"RT @tonymoore: Found cheese cracker sandwiches in the cabinet, a year expired. Ate them anyway. If I die tonight, these will be the worst l&#8230;",0
1,ghetto,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",0
9,ghetto,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",0
21,ghetto,"&#8220;@PlMPCESS: In the fashion world ""urban"" means ""stolen from black people"" its ghetto on us, and urban on them haha http://t.co/S0XWGfLJ9C&#8221; &#128588;",0
52,ghetto,@MeowMariss i thought i was the ghetto word for babe,0
57,ghetto,"@NewsCommenter @gatewaypundit Who the Hell needs permission for anything from that fat-assed, ghetto whore?",0
111,ghetto,Ayy Carlton is a ghetto school now #SwitchedAtBirth,0
119,ghetto,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",0
137,ghetto,I hate the ghetto trash at the special school across the street from my building. All of them will grow up to be criminals.,0
183,ghetto,"RT @JamesOKeefeIII: Denver TV airs clip of digging through trash in ""Ghetto Aurora"" to put Black and Mexican ballots to ""good use.&#8221; http://&#8230;",0
187,ghetto,RT @MANIAC3X: @Buckm00se I'd rather be from a rancho then live in ghetto ass urban areas with niggers and nigger impersonators. Adopting ni&#8230;,0
189,ghetto,"RT @Mari_813: ""Bae"" means ""before anything else"" I always thought it was a ghetto word for ""babe""",0
195,ghetto,"RT @PlMPCESS: In the fashion world ""urban"" definitely means ""stolen from black people"" it's ghetto on us, and urban on them haha http://t.c&#8230;",0
227,ghetto,So many weird people in the ghetto at this time.,0
238,ghetto,The ghetto thuged out version of tree of life coming soon...,0
248,ghetto,Who would've known that Jesus'll come back to the ghetto / on that level and that thorough like a black heroine.,0
266,ghetto,the craziest hos for no reason on TV hands down are Teirra Marie (however ghetto way she spell it) and Siah's cute ass girl,0
269,ghetto,why do little scrawny white boys play ghetto rap music while they walk around.,0
2,girl,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",0
8,girl,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",0
20,girl,"&#8220;@PharaohJas: ""Darkskin Girls Ugly"" &#127383;&#127378; http://t.co/DYeAY2t5AA&#8221;flawless ass bitch",0
22,girl,&#8220;@RudeNation21: When girls take my snap backs and beanies lol&#128169; that's 35 dollars a hat and 40 for the AX beanieS &#128530;&#8221;I don't let them take it,0
26,girl,"4 old hoes, a ponk, and a dyke outchea having ""girl talk""",0
76,girl,@ZP3_ the little girl Tom Sawyer gets trapped in the cave along with Injun Joe and almost die. injun Joe dies and they find his treasure,0
101,girl,@lilmenifee__ ohh bitch i gotta go fck with my girl my second lil family frfr,0
120,girl,Debating feminism with a gay professor uninformed girls and low IQ rednecks is not my idea of a fun Wednesday night,0
126,girl,"GIRL! Trying to put dem bitches on, too! RT @CeeisMee: In AutoZone trying to buy the correct wiper blades for my car http://t.co/tifQceESts",0
127,girl,Gary's girl was a tranny. RT @Em_99car: I wonder what would have become of @rickspringfield if he'd written 'Gary's Girl'.,0
133,girl,"He ain't shit girl, &#128175;he a bitch made nigga !",0
145,girl,If only I dated a girl that lived off Mack Road I could just get the holy trinity of Sacramento ghettos on a daily basis,0
151,girl,It's so shady when you bitches talk to guys w/ girlfriends that's so disrespectful to do to another girl,0
155,girl,Lmao RT @Handsomeesco_55 If u live wit ya girl and u do dishes u a faggot,0
158,girl,My nig jus found out his girl fuckin anotha nig so he meets up wit dis nigga.....,0
163,girl,Omg!!! You won't say it to my face! Stupid ass hoes talkin shit!!! Imma whoop her ass!!! *over dramatic teenage girls*,0
173,girl,RT @Cougar745III: this girl comes into class with fried chicken and pulls hot sauce out of her purse i mean come on how ghetto &amp; Stereotypi&#8230;,0
174,girl,RT @CraziestSex: A girl KNOWS when a bitch likes her boyfriend &#128564;&#128080;,0
177,girl,"RT @FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/rJVOVoO53l",0
180,girl,"RT @HornyFacts: a girl tweeted ""you might be ghetto if u bring food from outside into the movies""

no u might be stupid if u pay 4.99 for a&#8230;",0
184,girl,RT @JayAllDay612: Girls will ignore your text messages then get bothered when you give other bitches attention.,0
191,girl,RT @NoWomanIsRight: You can be a good girl all you want and those hoes still gonna get us niggas attention from time to time,0
198,girl,"RT @SteveStfler: Anytime a girl asks you for help, tell that bitch to ask Channing Tatum since that's her MCM.",0
203,girl,"RT @Zag_OX: Your girl hold my dick like a wii controller
Where's your bitch, nigga? We control her",0
215,girl,"RT @lovexlilyy: don't play games with a girl who can play better, bitch.",0
217,girl,RT @sorryimalex: I got called a faggot for buying girl toms so now I'm gonna fuck that person in the ass,0
233,girl,Stuck up serious bitches are possibly the worst type of girls. Ever.,0
253,girl,"You girls got no job, no college set up to have a better future, then get mad when a nigga leave you cause all you got is pussy",0
262,girl,"lmaoooo RT @ComedyTruth: Girls, don't let a guy treat you like a yellow starburst. You are a pink starburst.",0
264,girl,pretty girls wit bird brains....what a waste smh,0
14,monkey,#ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth,0
23,monkey,&#8220;@WhatTheFFacts: An orangutan once tried to have sex with actress Julia Roberts.&#8221;Smart monkey&#128514;,0
136,monkey,I do da flow in a temple today fo nuttin. And dat Jew wit the funky hair tell me I subhuman. He tell me I ain't no mo human den a monkey,0
185,monkey,"RT @JonHorstHoyer: ""Lester, the parasitic spider monkey, had 1 redeeming quality: he ran the boat, &amp; the boat attracted women."" 'ONLY IN #C&#8230;",0
206,monkey,"RT @_forevernee: I hate a copy cat ass bitch. Monkey see, monkey do ass bitch &#128544;",0
216,monkey,RT @prettycha305: Monkey see &#128585;&#128584;monkey do hoes&#128586;,0
223,monkey,"RT, If You Agree!
#NorthKorea says #barackobama looks like;
""A monkey, who belongs in an African zoo"" 
ROFL! http://t.co/tooV1uty6h",0
251,monkey,"Would you rather be a monkey or a gorilla? &#8212; Neither, they're both hairy! But if I had to choose, a monkey. They... http://t.co/h2RQF5OqWb",0
261,monkey,having a blast yesterday...she even had me on the monkey bars tryna kill myself lol! http://t.co/31g1KM56,0
29,retarded,"@AngryWillHelms Genius, the politically correct term would be ""intellectually disabled."" It's highly offensive to use the word retarded.",0
65,retarded,"@StarkFreeOrDie ...honestly. That's where I'm the most retarded and is why stuck as artist hoping for a fair ""dealer/manager"" situation....",0
237,retarded,The Wayans bros is the most retarded show ever.,0
16,teabagger,#morningjoe prove him wrong righties! Liberals use facts cons use emotions to make decisions. Facts be damned should be the teabagger motto,0
55,teabagger,@MissStef0318 @_MariaPetrova teabaggers weakening food and environmental regulations is infinitely more scary and lethal than terrorism.,0
103,teabagger,@schargel read the constitution you love. All spending starts in the House. Love uninformed teabaggers. #morningjoe,0
114,teabagger,"Calling out teabaggers, conservatives on their BS: http://t.co/l8Qx8RMjrG via @YouTube",0
160,teabagger,"Nothing says teabagger like a millionaire complaining that they are broke, huh #HillaryClinton? #Hillary2016, give me a break, lol. #p2",0
175,teabagger,RT @DestroTheNoble: I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide @nekolin @1SleepingGiant,0
212,teabagger,RT @it_itt: @docrocktex26 doing nothing as an agenda. unbelievable that the Dems failed to use that against the teabaggers. @AfricanPrinces&#8230;,0
214,teabagger,"RT @linnyitssn: No teabaggers, 9/11 is not about Benghazi, it's about those planes and those towers. Stop watching Fox News.",0
224,teabagger,"Sheeple just like &#128073;@sweetpotatertot:OH those ""racist"" ""sexist"" ""teabaggers""who just elected these two old white men. http://t.co/x3BwNM3jiI&#8221;",0
234,teabagger,Stupid teabagger restaurant making customers pay 'Minimum Wage Fee' http://t.co/gJKXmzIIzS,0
239,teabagger,The republican teabaggers hate this but screw em. http://t.co/6iutHYvhQm,0
244,teabagger,"Twice divorced teabagger Florida Attorney General says marriage is reserved for 'stable, enduring family units' http://t.co/9ZWr3O33iu #wtf",0
246,teabagger,When did it become cool to ne stupid? This teabagger debate is slim on facts at best.,0
87,trash,@c_drew_ I'm guessing so. The players are talking trash.,0
110,trash,Aye we all needa keep are heads up high who cares if we lost we all went and tried our best &amp;south is a bunch of trash talking pussys ! -.-,0
148,trash,Iggy is trending. Twitter's trash today.,0
171,trash,RT @AshleighRollin: &#8220;@ViriDoesItt: Kissin small lips is trash lol..&#8221; Trash,0
242,trash,This new avi trash or nah,0
243,trash,This shit sooooooooooooo trash.,0
252,trash,Yea buddy RT @YallJustDontKno: A lot of NBA trash talk going on,0
255,trash,You said you be smoking strong but your wrong you been smoking trash it's not in my lungs if it ain't that pressure.,0
73_T9,tom,@ZP3_ the little girl Tom Sawyer gets trapped in the cave along with Injun Joe and almost die. injun Joe dies and they find his treasure,0
235_T9,tom,RT @hotwata: &#8220;@VSamone: tom ford probably fucking all these hoes&#8221; he probably would be if he wasn't a homosexual,0
244_T9,tom,RT @sorryimalex: I got called a faggot for buying girl toms so now I'm gonna fuck that person in the ass,0
259_T9,tom,"They be looking at Tom Brady while he going off on tge sidelines like, Whatever bitch. Lol",0
266_T9,tom,Tom Brady is the biggest pussy in the NFL by far,0
297_T9,tom,tom ford probably fucking all these hoes,0
5_T9,cry,It takes a true directioner to accept Larry You know what bitch its fans like you that make the boys cry. #ThankYouPaulForConfirmingLarry,0
19_T9,cry,"Y'all like sayin money don't buy happiness , but name a niggah sitting in a Lambo crying ?",0
23_T9,cry,"7 pounds never fails to make me cry. Im not bitch, I just relate to it",0
26_T9,cry,@AdamSchein @TheMayorMatt I may have just cried a tad #illmissu shiner,0
43_T9,cry,"@JasonMoriarty13 I remember his nephew Lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something. &#128514;&#128557; dans so funny.",0
50_T9,cry,@Newser big fucking deal...cry baby niggers,0
74_T9,cry,"@_Andrizzy_ aw drake is, do you sit in the corner and cry when you listen to him? lmfao, pussy dick rider, how drakes cock taste faggot.",0
80_T9,cry,"@drboycewatkins1 Coons and monkeys like you disgust me, you minstrel show negro. Crying about shit all the time you're a disgrace everywhere",0
83_T9,cry,"@etellurian @vcortesusmc too many little whiney bitches in AMERICA. 
Someone to CRY about ANYTHING! 
IE: Kids MUST WEAR Bicycle Helmets!",0
92_T9,cry,"@leetreble_ quit bitching faggot, happy you cant see your faggot family cry baby little girl crying in the parking lot, you aint a man sissy",0
113_T9,cry,Ceasefire?Let's see how long those towel heads can go without trying to attack Israel then cry to national media when they get popped again,0
117_T9,cry,Draft Drinking Game: chug a beer everytime you see a black woman crying. @stoolpresidente,0
132_T9,cry,I can't watch Charlie St. Cloud because I cry like a little baby. Every. Single. Time. &#128557;&#128557;&#128557;&#128557;,0
154_T9,cry,It's scientifically proven that no one can not cry at least once while watching Charlie St. Cloud.,0
172_T9,cry,My grandma threw out all of my raps. Ones I made from 7th grade to now. I'm literally crying. Thats all my work in the trash. &#128530;&#128532;&#128547;&#128546;&#128557;&#128560;&#128545;&#128548;&#128544;&#128127;&#128122;&#128589;,0
192_T9,cry,"RT @Harryslaststand: On this #ArmisticeDay the cry ""Never Again"" is absent and mocks our pledge to #NeverForget the fallen from ancient an&#8230;",0
197_T9,cry,"RT @JackBPR: Alec Baldwin mocks Harris-Perry: &#8216;If I cry, will I be forgiven all my transgressions?&#8217; http://t.co/9Oq5GTPmXx via @BizPacRevi&#8230;",0
202_T9,cry,RT @MANIAC3X: @NotoriousBM95 @Woody_AFC @_WhitePonyJr_ @santi_4l @Bamoose12 start crying and stalking him faggot. I want to laff,0
212_T9,cry,"RT @RussOnPolitics: GOP nominee for #MAgov Charlie Baker's ""fisherman story"" falls apart. He deserves an Oscar for his play crying. http://&#8230;",0
223_T9,cry,RT @Yankees: You may cry after watching the Derek Jeter @Gatorade ad: http://t.co/hMO9Bxol0x http://t.co/0xdlxToci8,0
225_T9,cry,RT @_politeASSHOLE: 1) A real nigga would NEVER be hurt and crying over pussy they didn't get for two years. What kinda gay shit is that?,0
226_T9,cry,"RT @_politeASSHOLE: 4) Only pussy niggas who suck dick cry about someone being in their mentions, tweet the person then cry again about the&#8230;",0
254_T9,cry,That Larry the cucumber tweet is funny af.. But it's a bit much to RT you young bitches might cry&#128514;&#128514;&#128514;,0
271_T9,cry,What you gonna do if she cheat ? Cry ? Fight for her ? No kick that bitch out and go straight to tootsies,0
278_T9,cry,You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch.,0
280_T9,cry,You can buy my fucking life and you've never even broken a sweat stop crying bitch @KylieJenner http://t.co/cipWztVnUo,0
282_T9,cry,"You too old to be on Twitter, crying like a bitch...",0
27,cracker,"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz",1
28,cracker,@AndrewJBurns1 @Tommy_Russell_ homo ass crackers,1
30,cracker,"@AntonioFrench The ""You&#8217;re going 2have 2 KILL crackers &amp; their babies&#8221; New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown",1
31,cracker,@BarbaraF321 @ThirtyBirdy wow and there are white people and there are crackers. Guess which one u are.,1
32,cracker,@Barbod6FCB @_cblaze @ODDBEAST cracker jack shut the fuck up,1
37,cracker,"@Chicago_Rose1 Dunleavy, my cracker ass honkie",1
54,cracker,@Mimistheone You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,1
84,cracker,"@amyklobuchar he was 17 not 16 &amp; he tried to beat up a much weaker ""creepy ass cracker"" that is why he is dead. If Zimmerman was a woman...",1
94,cracker,"@jennybaquing so terms like honkey, cracker, peckerwood and stereotypes of white people fucking their kids and sisters isn't racist? sweet!",1
95,cracker,@jordan536633 @heydenbunsyolo @bird_lovin shut yo cracker jack buck teeth ass Am a native and a nigga the best kind,1
105,cracker,@whiteangelss84 y dont u end us monkeys then? U hate us because were better than crackers &amp; I love it. Deep down u know weve done nothin 2 u,1
139,cracker,I love fuckin wit people. I be givin greedy ass nigas old as crackers wit expired cheese dey be callin me like&#8221; nigga im shittin likea goose,1
146,cracker,"If you must call me a cracker, please call me a Cheez-It, not a saltine.",1
149,cracker,"It's funny how these swaggot white boys wanna act like they're Ballin till it comes time to tip.
Sad ass crackers.",1
197,cracker,"RT @StLNetworkGuru: Write in Christine LaPorta for #MOSen #Ferguson She represents all

ChappelleNadal refer to whites as crackers &amp; KKK ht&#8230;",1
221,cracker,RT @veeveeveeveevee: If I was Obama Id call a press conference &amp; slit joe bidens neck on live tv just 2 show these crackers I mean business&#8230;,1
89,ghetto,"@derek_gatewood I got a kenwood amp to but it's probably ghetto, right?",1
116,ghetto,"Classy rich family kids doing drugs and tryina be all ghetto and shit,while actual ghetto poor kids looking for education to get outta there",1
124,ghetto,Fuck you ghetto ass coons,1
129,ghetto,"Ghetto ass bitches came in my job talm bout sum ""o yes u daddy down"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",1
150,ghetto,"It's not ""unique"" it's ghetto as hell.",1
161,ghetto,"Obama&#8217;s faves: Muslims, black ghetto trash http://t.co/qTfjRAijwn via @worldnetdaily",1
170,ghetto,RT @AjalaPilgrim: &#8220;@Selecta_kerry: So why everything u say ghetto u Hadda associate it with jordans &#128532;&#128530;&#128530;&#128530;&#128530;&#8221; isn't it obvious ?,1
172,ghetto,"RT @Beaadawgg: Why do the trashiest, really ghetto girls always get the most likes and comments on insta? Boys up and down their pictures a&#8230;",1
181,ghetto,RT @HoskinsTy96: @Vontey_isa_boss &#128514;&#128514;&#128514; ghetto ass mofos,1
204,ghetto,RT @_RiveraJustin: It's unattractive when girls act ghetto,1
213,ghetto,RT @julia_rodd: When kennies angry he talks like a ghetto black man and I really don't even think he notices HAHAHAHAHAHAHA I'm laughing @ &#8230;,1
218,ghetto,RT @taylor_TM: @PacmanJonez @PhilWOTG you the whitest person on my TL but you always so ghetto. Im sick of it,1
5,monkey,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",1
19,monkey,&#8220;@LuaBoo: Niggas over 6'2 with long ass monkey arms make the best cuddle buddies....so I heard&#8221; ahaha a female told me this once&#128514;&#128514;&#128514;,1
35,monkey,@BossMelle never followed him ignorant monkey,1
36,monkey,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",1
41,monkey,"@GeneTNBARockBox Says the old man :( I hope you can survive another 10 years, you silly Jigga boo monkey",1
62,monkey,"@SoftestMuffin @_tee13 @TorahBlaze at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. But u luv them white devils",1
72,monkey,@SugarShai2 youtube bear vs monkey bike race!,1
92,monkey,"@icpchad @UnseeingEyes ......monkey look, just like you!",1
138,monkey,"I like it. Folks act like the word ""negro"" is the equivalent of porch monkey or spear chucker. It's not. No real&#8230;",1
166,monkey,Porch monkey 4 Life,1
193,monkey,RT @Opatz1: Fuck michelle obama. That monkey doesnt belong in the white house,1
194,monkey,RT @OutTheOrdinary1: @P0WERS_ @eGoaTizM @Blaztful powers U don't go outside ur tanks been on full for 2 months U anti social monkey,1
196,monkey,RT @SaraLuvvXXX: Today @GlennAlfonso did my hair and makeup.. He always tries to make me look like a monkey. http://t.co/tym2JD7h3Z,1
201,monkey,RT @ToyaMiani: The reason you called Jesus a monkey is because you knew he was not your color #Farrakhan#TheTime,1
211,monkey,RT @iBeZo: Stupid fucking nigger LeBron. You flopping stupid jungle bunny monkey faggot.,1
235,monkey,Suck my super monkey balls,1
257,monkey,Your pathetic plan failed. Enjoy my phone you fucking monkey. Let me see your ass at Benton park. You wanna talk shit I'll carve your face.,1
10,redneck,"""Shake that Bear ... aka two rednecks having sex on a dead bear""",1
40,redneck,@EvanDMyers @nineinchessoft you have a redneck attitude. The same people that think Benghazzi is real think Fox fake nws is real. Your one,1
43,redneck,@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,1
48,redneck,"@JunDishes thank god I'm just an "" old redneck bitch"" from Memphis ,Tn. And not a troll",1
61,redneck,@SAMMI_boyden bruh we can finally roll like rednecks (': ((drug dealers)),1
69,redneck,@SteveStockmanTX hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it. They love stupid people,1
73,redneck,"@Tom_Morehart @cjc_is_alive @JoshuaTyl0r 9 of 15 BCS titles, $314 mil in revenue. It's great being in a redneck conference. And not in Ohio.",1
77,redneck,"@_IAMKEN fuck Brett Farve redneck ass, he stuckup he don't give a damn lol he be on campus acting like he the shit",1
82,redneck,@ajam never happen. Too much republican redneck oil money. Sad butt true. #corruptAmerica,1
102,redneck,"@moneyhabitz17 hell yea,I'm surrounded by hillbillys an real ass rednecks",1
106,redneck,"@yawlknow @HoskinsTy96 ""all of these rednecks and none of them can keep the fire lit"" &#128514;&#128514;",1
118,redneck,"Crank up a little hank, sit on the hood and drink, I'm about to get my redneck on",1
125,redneck,Fucking redneck queers and their game invites,1
128,redneck,"Get out granny long-johns rednecks..for your cold bones from very cold ""Polar Vortex, The Sequel""! DoG http://t.co/ZXuxFXPzI7",1
130,redneck,"Gotta love rednecks. Loud, stupid, stubborn, and full o schitt.",1
134,redneck,"He never replied to my asking about his calling me a ""redneck"" @gigg423 @psherm07 @EchoesErrant @jstines3",1
141,redneck,"I'm a redneck, but without the homophobia and racism",1
142,redneck,"I'm an 18 year old gay driving through the back roads of redneck Virginia blasting Cheetah Girls. If that doesn't scream sitcom, what does?",1
154,redneck,Just in case the day couldn't get better wife's Rav 4 had a flat and being the redneck I am I put 16 inch rims on it so there goes $200x2,1
156,redneck,"Lol, so since I'm from the south I automatically sound like a fucking redneck. Hahahaha how about fuck you, stupid ass.",1
168,redneck,Probably saved @KingBorgman's ass today. About out gas in a Diesel engine.&#128514; what would you do without your redneck friends?&#128514;&#128514;,1
176,redneck,RT @FunnyOGtweets: When rednecks fool around with the aux cord http://t.co/Tyzuro7qR5,1
207,redneck,"RT @amazingatheist: America is like a drunken redneck flailing his fists around, raving incoherently. He's kind of funny, but also you'r ...",1
222,redneck,"RT @wisdom_spewed: No, you stupid redneck, ""Animal Husbandry"" does NOT mean you can get hitched to your blue tick hound, Misty.",1
226,redneck,So jealous of my parents and Bryce gone to rednecks with paychecks for the weekend I should've gone &#128520; http://t.co/F0mZQjWcRp,1
228,redneck,So much more going on but hypocrisy doesn't sit well with me. My redneck family from central Illinois more black then Bieber!,1
229,redneck,Some Douche cubs redneck cubs fan freaked out asking if bites..... No you bloody BERK!!! He's like the&#8230; http://t.co/ulc6CMVtki,1
230,redneck,Some rednecks just raced down the freeway &gt;_e,1
245,redneck,We're going to make the school look so redneck tomorrow.,1
270,redneck,"you've gone and broke the wrong heart baby, and drove me redneck crazy",1
24,retarded,&#8220;@therealiman: No one wants to see curvy women - Karl Lagerfeld&#8221; he retarded,1
39,retarded,@Drfreezeburnn @DaithiDeNogla I just learned how many retards you can find when you search trending topics.,1
47,retarded,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard,1
50,retarded,@LoLDyrus It's retarded. Ignore the harlem shake fad and hope it goes away soon.,1
51,retarded,"@LokiHulibele @mediacrooks @AamAadmiParty They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards",1
75,retarded,@WyattNuckels *thought retard,1
81,retarded,@aaymee29 no that's fucking retarded are you drinking tonight or not?,1
83,retarded,@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded,1
88,retarded,@dannycatsteve because it's fucking retarded?,1
98,retarded,@kieffer_jason you dumb fuck that's not a fucking full address you dumbass I don't live in Plano so how the fuck would I know retard,1
121,retarded,"Did everyone else's parents use to refer to the Power Puff Girls as ""Powder Puff Girls"", or were mine just exceptionally retarded?",1
122,retarded,Dj Khaled is retarded,1
143,retarded,I'm such a retard sometimes.,1
159,retarded,None of us went to these PRESTIGIOUS establishments so we're clearly not as superior as these fucking retards...,1
164,retarded,People get more and more retarded everyday,1
165,retarded,People on this site are fucking retarded sometimes,1
167,retarded,"Practically got arrested tonight, not allowed on UTampa grounds for a year now... fml im retarded",1
178,retarded,RT @Goons_TXT: Only retards and dads roll Lawful Good.,1
179,retarded,"RT @Heissarcastic: Facebook needs these 3 buttons: ""Dislike"", ""Who cares"", ""Are you retarded?""",1
186,retarded,"RT @KxRxSxB: We all know that one person that could say anything and you just look at them thinking ""you're retarded, stfu"" #stupidBitches",1
190,retarded,RT @NenosMarma: @andrewzoudo @tonykivarkis so hes retarded and gay.. What a mix &#128079;&#128079;&#128079;,1
199,retarded,RT @TooMessedUp: Fucking retarded question... http://t.co/9GW3iYByh3,1
205,retarded,RT @__J_R: Smh nigga is mildly retarded RT @Thotcho: LMFAO RT @JustDoJ: If Griff wasn&#8217;t injuries we&#8217;d legit be 6-1,1
241,retarded,These people at jury selection are retarded,1
250,retarded,Why won't we run the ball? Our offensive coordinator is retarded,1
268,retarded,they're working on a bill to prevent retards from voting. who knew retards COULD vote? things are starting to make sense now.,1
12,teabagger,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",1
44,teabagger,@Herfarm Move out of our country teabaggers!,1
46,teabagger,@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.,1
