id,example,term,binary_label
1057,They should have never gave a cracker a transmitter!!!!!! @realdjTV will flip when he sees this. http://t.co/cYCdbhbXkQ,cracker,1
194,"@CharleeRedz13 your gay stfu, dumb monkey",dumb,1
207,@HollygroveShawn word!! school flow on a dumb hoe...,dumb,1
214,@Hunglikerobby_ @triple6em96 @bbluedreamm I was nice to the dumb bitch then she puts her nose all up in my business Eat shit white trash hoe,dumb,1
270,@RSBerto Dumb Haitian fake black faggots. Go to Haiti and neck yourself.,dumb,1
274,@RealSkipBayless haha how much are you payed to CONSTANTLY NOT KNOW what you're talking about??? Dumb ass &#128514;&#128076; wade is trash,dumb,1
299,"@SoftestMuffin @_tee13 @TorahBlaze at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. But u luv them white devils",dumb,1
352,"@hekterr don't stop now half breed, I'm just starting to learn about what makes you a dumb ass",dumb,1
361,@kieffer_jason @NathannDevlin @zach_smith98 bitch how tf am dumb your going off what someone else told you so u can shut that shit up,dumb,1
363,@kieffer_jason @sbsylvester u call me dumb but u speak on shit u don't know nothing about yea look who's fucking talking retard,dumb,1
365,"@kieffer_jason am done are acting like a little bitch. My 5 year old nephew realer then your scary ass, sunset is not a time u dumb fuck",dumb,1
443,Black people like @ChiefKeef disgust me laughing at someone who died dumb monkey ass niggas like you need to be locked up just for stupidity,dumb,1
459,Damn that bitch dumb,dumb,1
508,For all we know this nigga a rapist. Y'all hoes dumb &#8220;@daniellathepimp: *melts* http://t.co/RRROzn5bdy&#8221;,dumb,1
529,Having sex with a guy wont keep him around for you dumb hoes who think that. Theres plenty pussy. Just gotta have a guy who wont give in,dumb,1
589,Kirk Hinrich going fucking dumb out that bitch,dumb,1
616,Now this new bitch acting dumb tryna correct my every word.,dumb,1
743,RT @JaredLambert21: Brandon's a dumb fat chunky whore,dumb,1
745,RT @Jayy_Gee96: Dumb bitches,dumb,1
761,RT @LuieSanches: PROUDLY a racist. u dumb nigger,dumb,1
826,RT @XIXMCMLXXXV: It make the pussy sing. &#8220;@_MouthLikeLicka: It aint? RT @Mike_got_hoes: My dumb ass thought that was a microphone http://t.&#8230;,dumb,1
916,RT @beethetranny: can we please stop talking about how some scumbag faggots mugshot is sexy? you dumb whores.,dumb,1
1021,"She May Be Dumb As A Stump, but even Sarah mocks OBAMA! http://t.co/Qwxb4wbfZq&#8221;",dumb,1
1035,That dumb black bitch that was getting the cards for the picture made me so fucking mad she ruined my day &#128545;&#128545;&#128074;&#128298;&#128163;,dumb,1
1040,"There are girls. There are women. There are ladies. And there are bitches. You ma'am, is a beeeitch. A dumb ass bitch hahaha.",dumb,1
1087,"Y'all bitches be coming up with some dumb shit... What the fuck is ""fleek""? &#128529;",dumb,1
1088,Y'all dumb bitches out here FUCKING UP,dumb,1
1132,dumb ugly stupid bullshit ass bitch &#128074;&#128074;&#128074;,dumb,1
21,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",gay,1
33,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",gay,1
142,"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""",gay,1
150,&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,gay,1
152,"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer",gay,1
163, This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .,gay,1
192,"@CharleeRedz13 your gay stfu, dumb monkey",gay,1
247,@MrMooncricket @AtBlackface @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ugly gay nigga bitch fucking peace of shit,gay,1
251,@Nien_Nunb what did you search? Gay redneck episode 1 play?,gay,1
322,@YourDudeFerg gay fags,gay,1
337,@asshole_king oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers.,gay,1
358,@jakiekoelewijn nigga who's bitch u fucking cracker get your gay ass out my mentions.,gay,1
492,ESPN keep hiring these dyke bitches and gay Spanish niggas to talk sports,gay,1
515,Gay ass nigga &#128514;&#128514; bitch you thought you thought,gay,1
593,LMFAOOOOOO GAY AS FUCK RT @PubesOnFleeK: &#128557;&#128557;&#128557;&#128557;&#128557; get these two faggots off my TL http://t.co/oKUMmSJEYi,gay,1
615,"Niggas are so fucking gay... And they try to cancel it out by saying ""nah were bros it's cool"" nahhhhhaahahahaha you a faggot bruh",gay,1
742,"RT @JamesYouCunt: I'm on my straight Grizzly so why would I buy you a gay ass teddy bear, bitch? You're already bi-polar! http://t.co/4ZsXC&#8230;",gay,1
757,RT @KissMy_klASSy: Exactly. .same shit I said&gt;&gt;&gt; @Im_Yung_Jay: So nobody think Mimi was outta line for inviting Stevie J to the gay nicca v&#8230;,gay,1
803,RT @TopBlokeBill: Are you Justin Beiber? Because your a Fucken gay cunt @Arii_nV http://t.co/pgHISyDEyB,gay,1
889,RT @_politeASSHOLE: 1) A real nigga would NEVER be hurt and crying over pussy they didn't get for two years. What kinda gay shit is that?,gay,1
1155,"she pooted &#8220;@Not1FuckisGiven: Either Young Thug gay, or this bitch pooted https://t.co/g0FgRX7dju&#8221;",gay,1
145,&#8220;@CommonBlackGirI: here&#8217;s to all the kids who have never found their name on anything in a souvenir store&#8221; thanks mom for the ghetto name.,ghetto,1
180,@Adrian1_knowsu &#9757;&#65039;no ghetto names &#128581;,ghetto,1
240,@Lovelesslovely @Kwitchabichen25 hey aklve! Im taking out the black ghetto trash. Youre blocked nigger,ghetto,1
262,@PlasticDom can we plz go to Starbucks and do that. Ebola sounds like a really ghetto hood name tbh.,ghetto,1
264,@Police_TactGear Article is flawed. Took my first CHP with BRPD. Was well done. Even had 2 ghetto gals with a jammy Hi-purnt 9 but well done,ghetto,1
373,"@kuczaaaK @Tyg235 Kris, griff is too ghetto to know anything about sperrys or vans",ghetto,1
466,Dear inconsiderate ghetto fuck on the train across from me: ya know your phone has options other than speaker phone right?!?,ghetto,1
539,"Hold all your ghetto labeled and endorsed vodka brands, you can rum me silly any day. 
#ShiverMeTimbers",ghetto,1
550,I hate the ghetto trash at the special school across the street from my building. All of them will grow up to be criminals.,ghetto,1
599,Let this white boy be ghetto&#127773;,ghetto,1
601,"Let's play ""What will the ghetto white girl with neck tattoos in front of me buy.""
If you answered Cigarillo's...you've seen this episode b4",ghetto,1
623,"Obama&#8217;s faves: Muslims, black ghetto trash http://t.co/qTfjRAijwn via @worldnetdaily",ghetto,1
700,"RT @Beaadawgg: Why do the trashiest, really ghetto girls always get the most likes and comments on insta? Boys up and down their pictures a&#8230;",ghetto,1
718,RT @Cougar745III: this girl comes into class with fried chicken and pulls hot sauce out of her purse i mean come on how ghetto &amp; Stereotypi&#8230;,ghetto,1
744,RT @Jay_Tee92: &#8220;@armani_bliss: this ghetto jeopardy shit wack. &#128533;&#8221;,ghetto,1
779,"RT @PlMPCESS: In the fashion world ""urban"" definitely means ""stolen from black people"" it's ghetto on us, and urban on them haha http://t.c&#8230;",ghetto,1
983,RT @joselopez222: Aurora is more ghetto then the bellos &#128514;&#128557;,ghetto,1
997,RT @taylor_TM: @PacmanJonez @PhilWOTG you the whitest person on my TL but you always so ghetto. Im sick of it,ghetto,1
1047,There's someone riding around the Robinson Walmart in a lawn mower. With ghetto headlights added. #reallife,ghetto,1
1059,They took it there bro you know I'm civil. RT @lilmissStoney: @VikkiNoSecrets wait a minute! Lol. Don't get ghetto V!,ghetto,1
1086,Wtf am I watching bgc I hat watching these ugly ass ghetto hoes put there family name to shame,ghetto,1
1143,lmaooooo RT @SirAsshole: when you sit in a ghetto girls seat at lunch https://t.co/HaSLMb1Dzj,ghetto,1
148,&#8220;@LuaBoo: Niggas over 6'2 with long ass monkey arms make the best cuddle buddies....so I heard&#8221; ahaha a female told me this once&#128514;&#128514;&#128514;,monkey,1
160,&gt;_&lt;.. RT @ItsTheBOOMshow @FricknAwesome metal monkey balls!,monkey,1
185,@Anotherpotheadd lucky monkey,monkey,1
193,"@CharleeRedz13 your gay stfu, dumb monkey",monkey,1
203,"@GeneTNBARockBox Says the old man :( I hope you can survive another 10 years, you silly Jigga boo monkey",monkey,1
212,@HuffingtonPost looks like any other little porch monkey to me!,monkey,1
219,"@IntentionalTalk Half jar of marmalade, shaved monkey, saran wrap, mini horse. Give your best scene. #askkevin",monkey,1
255,@OfficialSkaiS kill yourself ugly ass monkey looking shit,monkey,1
298,"@SoftestMuffin @_tee13 @TorahBlaze at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. But u luv them white devils",monkey,1
346,"@drboycewatkins1 Coons and monkeys like you disgust me, you minstrel show negro. Crying about shit all the time you're a disgrace everywhere",monkey,1
403,@yungdipIo @Iemonaids like I really want a rafter monkey,monkey,1
407,@zt0mm lucky monkey,monkey,1
417,"AND #NorthKorea called #Barack a monkey. LOL! RT! *If the shoe fits! 'Cause it sure looks like he married one! 
http://t.co/F0pGDalfaA&#8221;",monkey,1
442,Black people like @ChiefKeef disgust me laughing at someone who died dumb monkey ass niggas like you need to be locked up just for stupidity,monkey,1
457,Damn girl I'll be your porch monkey,monkey,1
512,"GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one. 
 http://t.co/y09Waoe4EM&#8221;",monkey,1
594,LOL there's a talking monkey live on the internet! Will wonders never cease?,monkey,1
608,"Monkey see, monkey do, Narnfraud? Swiftee &amp; Narnfraud = pathetic and disturbed pair of thugs
#mngop proud? #stribpol",monkey,1
677,Porch monkey 4 Life,monkey,1
770,RT @Opatz1: Fuck michelle obama. That monkey doesnt belong in the white house,monkey,1
805,RT @ToyaMiani: The reason you called Jesus a monkey is because you knew he was not your color #Farrakhan#TheTime,monkey,1
974,RT @iBeZo: Stupid fucking nigger LeBron. You flopping stupid jungle bunny monkey faggot.,monkey,1
1121,Your pathetic plan failed. Enjoy my phone you fucking monkey. Let me see your ass at Benton park. You wanna talk shit I'll carve your face.,monkey,1
1150,"note to self: boiling water hot, monkey brain",monkey,1
19,""" quick piece of pussy call it a drive by """,piece,1
187,@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,piece,1
233,"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri",piece,1
312,"@TheRealJRSmith And its people like you that give us all a bad name, you are a disgusting piece of shit of a person a nigger is what you are",piece,1
640,"Omg he's at it again. He's the most pathetic, spineless, no balls having piece of trash on twitter I've ever seen. Let me go throw up, blah.",piece,1
705,RT @Bidenshairplugs: I'd like to issue a formal apology to Israel for our piece of shit anti-Semitic President and his retarded Secretary o&#8230;,piece,1
9,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",pussy,1
11,""" if you aint bout that Murder Game pussy nigga shut up """,pussy,1
18,""" quick piece of pussy call it a drive by """,pussy,1
20,""" running round here like some brand new pussy thats bout to get fucked """,pussy,1
22,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",pussy,1
27,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",pussy,1
30,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",pussy,1
32,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",pussy,1
37,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",pussy,1
42,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",pussy,1
43,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",pussy,1
45,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",pussy,1
53,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh",pussy,1
57,"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",pussy,1
62,"""@_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake..",pussy,1
67,"""@allisonnamaya_: What should I name my cat, ideas?"" Mr pussy",pussy,1
69,"""@fatboyswagg347: they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine""",pussy,1
70,"""@hornyjhb: Fuckin hot gym pussy http://t.co/ZVYmcXQuTA"" fuck yeah",pussy,1
74,"""@jaimescudi_: ""@Tonybthrz_: ""@jaimescudi_: I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy",pussy,1
76,"""@jboii2: ima keep on giving these pussy ass niggas ah reason to hate !""",pussy,1
81,"""@soxandjox: Thick raw fuck http://t.co/g8RvUHCeBN"" Damn his man pussy is getting a workout.",pussy,1
84,"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself.",pussy,1
90,"""I used to dress up like a cop too."" ""Oh really?"" ""Yeah...right after 9/11...mad pussy.""
""Really?"" ""Yes...I'll NEVER FORGET.""",pussy,1
98,"""My twitter was hacked"" = I'm too pussy to admit that I said it and now I want to act like I never said it.",pussy,1
101,"""RT it for me. Please and thanks @BmorePocahontas: Did a pierced pussy just come across my timeline &#128528;""",pussy,1
103,"""She gotta shape up her pussy lips tho @PostPrettyPussy: Whole wheat organic pussy http://t.co/kq0R0A7z2g""",pussy,1
104,"""She's from Florida so you've got to do the sniff test in those swamp pussies"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",pussy,1
105,"""Stop being a pussy, son, and shove that needle into your own heart!"" #afterearth",pussy,1
118,"""You and yo boys some pussy cats.""",pussy,1
119,"""You can pull more pussy with a dodge and collect them panties alright."" -stormy and jake &#128514;&#128514;&#128514;",pussy,1
121,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",pussy,1
191,@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,pussy,1
226,"@JasonMoriarty13 I remember his nephew Lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something. &#128514;&#128557; dans so funny.",pussy,1
249,"@MyNameShouldBe only one problem theres a ""no pussies allowed"" sorry @kerrythekilla...",pussy,1
256,@PaulMoon8 @yurista4life @justinmiculka01 you fuckin Yankees I'll be there in 2 months I'll meet you pussy,pussy,1
314,@TherealGeorgeZ you are a pussy without your guns bitch as spic. Your daddy doesn't even respect the sperm he drop in your moms stank pussy,pussy,1
324,"@_Andrizzy_ aw drake is, do you sit in the corner and cry when you listen to him? lmfao, pussy dick rider, how drakes cock taste faggot.",pussy,1
355,"@iowahawkblog @jjauthor to ----&gt;@DavidMasciotra get past boot camp, and go active a few years, see what we REALLY do daily you liberal pussy",pussy,1
364,@kieffer_jason @zach_smith98 @NathannDevlin so why the fuck are still talking shit. You acting like a pussy ass nigga,pussy,1
370,@kieffer_jason oh am I lame but yo pussy ass didn't show up the fuck u talking bout oh scary ass white boy,pussy,1
371,@kieffer_jason oh but I am and my grades say other wise so u can stfu and get off my Twitter or u can box simple ass that pussy boy,pussy,1
438,"Bitch fuck yo nigga, what's up with that pussy!!?!",pussy,1
518,God I would sell both my nuts to watch LeBron tear his ACL right now and watch all those pussies kill themselves,pussy,1
555,I like how niggas try an come at me and im like do it then bitch and they dont do shit. Pussies,pussy,1
581,It stinks in here must be then pussy ass niggas talkin shit #tomyfacebro test me,pussy,1
706,RT @BlakeAnderson21: @weston_diamond @sleezy_jeezy @justinmiculka01 not about to shoot this pussy! Ima beat his face into the asphalt t ...,pussy,1
730,RT @FunnyPicsDepot: pussy ass nigga http://t.co/lXONrmTQTK,pussy,1
747,RT @Jigga504: &#8220;@mleew17: u pretty but dat pussy got a 100 thousand miles on it!! Book value all fucked up&#128553;&#8221; &#128514;&#128514;&#128514;&#128514;,pussy,1
762,"RT @MXLLXVV: ""@VivaLAJuicyy69: ----&gt; tragedy smh RT @MXLLXVV: Niggas don't know you but will throw dirt on your name for the pussy you h&#8230;",pussy,1
774,"RT @PhillyDaBoss323: LOL favorite line tho ---&gt; RT @_bendoneit
You say no to ratchet pussy, juicy j cant.",pussy,1
799,"RT @Theprinceofnj: &#8220;@SMCo71: "" if you aint bout that Murder Game pussy nigga shut up ""&#8221;252 GANG &#128514;&#128514;&#128514;&#128514;&#128514;",pussy,1
806,RT @TrueNovacane: Only pussy niggas wouldn't fuck with a chick if she has stretch marks..,pussy,1
828,RT @YABOYLILB: *rides into the pussy on a gym class butt scooter* http://t.co/573pZSOuc1,pussy,1
835,RT @YatchakHannah: @aireekaTK stop crying you pussy,pussy,1
840,"RT @YungPineapple_: ""To bad you wont hit a girl pussy"" http://t.co/hsRjqyxZj8",pussy,1
869,RT @_POCAPetite: stick by his side and don't give his pussy up . .,pussy,1
878,RT @____Chelleeee: Been Trynna catch up Witchu pussy &#128299;,pussy,1
882,RT @_allaboutAshley: When will you guys leave that childish pussy alone? Get that sophisticated pussy.,pussy,1
893,"RT @_politeASSHOLE: 4) Only pussy niggas who suck dick cry about someone being in their mentions, tweet the person then cry again about the&#8230;",pussy,1
920,RT @bitchniggabob: If she called me ugly and started pushin me around. I'd run like a mother fucking pussy screaming for my mom to help htt&#8230;,pussy,1
932,RT @chasingstaxx: If your girl is upset and crying..let her cry...she needs to learn how to stop being a pussy. Toughen up,pussy,1
949,RT @cpSqueak: each time I do it for ya I make that bad pussy behave,pussy,1
1138,guy complains to me: #gays are over-sensitive... my response: and look at you complaining like little pussy. waahh waahh #hypocrite,pussy,1
1157,stupid loose pussyed bitch,pussy,1
1161,you a pussy ass nigga and I know it nigga.,pussy,1
28,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",queer,1
112,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",queer,1
130,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Anal | Hardcore british queer anal pounding http://t.co/lRuEixMy21",queer,1
153,"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer",queer,1
171,@05proFESSOR I bet he's a Starbucks queer,queer,1
186,@Arbogucci guys not supposed to get their ass sucked queer,queer,1
199,@FrankieJGrande ew queer white thirsty bitch,queer,1
200,@FrankieJGrande fugly queer white trash,queer,1
223,@JaiBrooks1 ur brother looks so queer and ugly,queer,1
236,@Levi_Page I don't bend that way queer. Thanks for the offer it's flattering.,queer,1
336,@ashhruggiero happy birthday queer,queer,1
338,@asshole_king oh no. They drafted that gay ass that come out on TV? Well u welcome to Redskins nation. No queers just a lot of niggers.,queer,1
340,@austin_farrar your a fucking queer faggot bitch,queer,1
491,EDA!! The 2 queers at AA! lol @Vbomb20 @GDuenez http://t.co/GzzrZjvVlV,queer,1
568,I'm obviously not talking about CoD because that game is for queers.,queer,1
579,"It doesn't just affect kids. It affects the faculty, the staff, that work at these schools that are queer.",queer,1
710,"RT @ChingonAbe: &#8220;@staycoolwheels: @mjs79 well he is at Genos. So he is the ultimate faggot&#8221;
@elmaestro1 got to show this queer how to eat &#8230;",queer,1
982,"RT @jerrilyn71: ""@HistoryGoon: hey dicklicker! it says im happily divorced not bitter! homophobic? im not scared of queers..i hate em! fudg&#8230;",queer,1
1006,RT @zachpiecowiak: @Eddie_Sativa87 you're a fucking queer,queer,1
1024,Smh queer,queer,1
1031,Stoni is a fuckin queer...,queer,1
102,"""Shake that Bear ... aka two rednecks having sex on a dead bear""",redneck,1
204,@Herfarm @SteveWorks4You @TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe #dummies,redneck,1
252,@Nien_Nunb what did you search? Gay redneck episode 1 play?,redneck,1
284,@SAMMI_boyden bruh we can finally roll like rednecks (': ((drug dealers)),redneck,1
286,"@SallyBitesAlot lol find a ""redneck"" from oakleaf to take you",redneck,1
292,@Selxnaa I'm redneck crazy,redneck,1
301,@SteveStockmanTX hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it. They love stupid people,redneck,1
325,"@_IAMKEN fuck Brett Farve redneck ass, he stuckup he don't give a damn lol he be on campus acting like he the shit",redneck,1
395,@sweetlou462 Lol. Have fun! &#128516; I haven't been to a race since HS (Charlotte). Crazy redneck times. Lol.,redneck,1
402,"@yawlknow @HoskinsTy96 ""all of these rednecks and none of them can keep the fire lit"" &#128514;&#128514;",redneck,1
470,Debating feminism with a gay professor uninformed girls and low IQ rednecks is not my idea of a fun Wednesday night,redneck,1
502,"Fat ass inbred rednecks like Paula Deen are breed that are going extinct. I mean look at that woman, I would hate to be her scale.",redneck,1
592,LMAO Joe was calling whitehouse offering advice. Yeah the President cares what a disgraced FORMER redneck House guy from fl says #morningjoe,redneck,1
691,"RT @AnthonyBialy: Well, Maryland is just a bunch of hateful rednecks, anyway.",redneck,1
734,RT @HawkinsUSA: Party of Racists just elected a black dude in the South. The party of War on Women just elected first ever woman in redneck&#8230;,redneck,1
811,RT @WhiteboiColeman: Stepping away from the twitter beef. I'm going to bed cause I gotta be up at 5. Gotta go be a redneck asshole at my us&#8230;,redneck,1
1003,"RT @whitbreezy: Once I get a cold beer in my hand there ain't no mistakin who I am, I can't hide my redneck side",redneck,1
1005,"RT @wisdom_spewed: No, you stupid redneck, ""Animal Husbandry"" does NOT mean you can get hitched to your blue tick hound, Misty.",redneck,1
1011,Really tempted to let out the redneck side of my drink a lot of beer and sing some country karaoke..,redneck,1
1013,Regular joes rockin tha boat that's us redneck yacht clubbb&#9728;&#127926;,redneck,1
1025,Some rednecks just raced down the freeway &gt;_e,redneck,1
1038,That long hair doesn't cover up your redneck,redneck,1
1094,"Yea alright redneck white trash""@CamoPearls: Stupid niggers hollering out their car going down the road trying to hit on me! Fuck y'all!""",redneck,1
75,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",retarded,1
140,&#8220;@BetterAreTulips: girls are fucking retarded my back started cramping up man&#8221; it's the double d's,retarded,1
149,&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,retarded,1
158,&#8220;@_honeysays: My phone charging backwards &#128533;&#8221; retarded,retarded,1
168,":/ well that sucks that Kobe is out now... he's still filthy, you can hate him all u want but if you dont have respect for him, ur retarded",retarded,1
196,@Christian_ESEM you don't know what your talking about retarded faggot,retarded,1
202,"@Fugazi3011 ""leave you beaner retard""",retarded,1
209,@HoskinsTy96 @saambrowning and retarded,retarded,1
227,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard,retarded,1
237,@LoLDyrus It's retarded. Ignore the harlem shake fad and hope it goes away soon.,retarded,1
238,"@LokiHulibele @mediacrooks @AamAadmiParty They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards",retarded,1
260,@PinkChocolateBK I thought it was beyond retarded & not scary at all!,retarded,1
263,@Poffalicious hell no man I'm retarded good at situps.. that run was weak tho,retarded,1
267,@QUAN1T0 You retarded bruh lol,retarded,1
291,@Scoob3y yeah and you're gonna play with retards who wanna do drugs all day but &#128056;&#9749;&#65039;,retarded,1
293,@Shvkxir @RickiRoma @BaeSongz @JayZOverrated Ahmed and retard mikey for special Olympic boxing,retarded,1
295,@SlimGirl_Probz das calld usen yo brain retard y would i whoop yo ass n front of da police,retarded,1
315,@TielerMLG @psvch @HalfAssed_ coming to the rescue of some retard licking dirty skidmarks on the internet... you guys are fucktards,retarded,1
328,@aaymee29 no that's fucking retarded are you drinking tonight or not?,retarded,1
330,@allsportsbruh literally retarded. You were dropped on your head.,retarded,1
331,@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded,retarded,1
344,@darthdanaa Yes you do retard.,retarded,1
362,@kieffer_jason @sbsylvester u call me dumb but u speak on shit u don't know nothing about yea look who's fucking talking retard,retarded,1
367,@kieffer_jason here let me say it more clearly since your retarded ass don't understand,retarded,1
368,@kieffer_jason how would u know if I don't fuck with you? Exactly you don't wtf I got shut your retarded ass up,retarded,1
369,"@kieffer_jason keep talking I'm going to make when u can't talk, u going to be talking like a retard",retarded,1
378,"@mike_ray7 congratulations, you are officially fucking retarded.",retarded,1
392,@stevoburns561 @ImSwaveyNShit @FreddieGibbs Soft shit? Are you handicapped or retarded?,retarded,1
471,"DeeDee, Patrick, Ed, Sheen, Timmy's Dad, Beavis &amp; Butthead, Peter Griffin. This is just a list of SOME mentally retarded cartoon characters.",retarded,1
